No.,Sex,D.O.B,Dam,Sire,Weaning Weight,Slaughter/Sale Date,DW,LW,Sold as Store or Breeding,3/7/2018,2/8/2018,6/9/2018,7/11/2018,6/12/2018,10/1/2019,14/2/2019,21/3/2019,18/4/2019,type
662,M,11/3,1061/13,590,41,7/9/2018,22.1,50,Prime,41,42,50,,,,,,,pedigree
663,F,11/3,1061/13,590,41,,,,,41,42,45,54,54,53,53,53,65,pedigree
664,M,12/3,602/12,137,34,17/8/2018,16.5,37,Prime,34,33,,,,,,,,pedigree
665,F,12/3,602/12,137,35,4/10/2018,,,Store,35,36,42,,,,,,,pedigree
666,F,12/3,602/12,137,35,4/10/2018,,,Store,35,34,37,,,,,,,pedigree
667,F,12/3,602/12,137,29,4/10/2018,,,Store,29,33,37,,,,,,,pedigree
668,M,12/3,448/16,1621,29,21/11/2018,25,58,Prime,29,31,41,55,,,,,,pedigree
669,F,12/3,448/16,1621,30,31/1/2019,,42,Prime,30,31,33,41,40,41,,,,pedigree
670,M,12/3,458/16,1621,28,12/12/2018,25.4,52,Prime,28,31,41,54,54,,,,,pedigree
671,F,13/3,230/14,590,28,,,,,38,38,44,51,50,51,53,58,68,pedigree
672,F,13/3,230/14,590,34,,,,,34,32,40,48,45,48,50,55,65,pedigree
673,F,13/3,230/14,590,31,,,,,31,33,36,45,44,44,45,48,56,pedigree
674,F,13/3,520/16,1621,25,8/2/2019,19.5,41,Prime,25,28,34,40,40,40,,,,pedigree
675,F,13/3,520/16,1621,24,12/12/2018,19.5,43,Prime,24,33,34,44,43,,,,,pedigree
676,M,14/3,793/08,590,26,30/11/2018,27.8,56,Prime,26,27,40,55,,,,,,pedigree
677,F,14/3,793/08,590,29,,,,,29,36,41,49,46,49,50,55,64,pedigree
678,M,14/3,1060/13,590,46,29/8/2018,23.5,50,Prime,46,45,,,,,,,,pedigree
679,F,14/3,1060/13,590,36,,,,,39,36,44,51,48,52,54,60,68,pedigree
680,F,16/3,1140/13,590,39,,,,,39,40,44,55,54,56,59,63,71,pedigree
681,F,17/3,526/16,1621,33,4/10/2018,,,Store,33,35,41,,,,,,,pedigree
682,F,17/3,526/16,1621,30,4/10/2018,,,Store,30,29,38,,,,,,,pedigree
683,M,19/3,303/15,1621,35,15/10/2018,23.1,50,Prime,35,37,45,,,,,,,pedigree
684,F,19/3,303/15,1621,30,4/10/2018,,,Store,30,31,36,,,,,,,pedigree
685,F,19/3,509/16,1621,35,,,,,35,34,42,49,46,50,55,63,74,pedigree
686,F,19/3,509/16,1621,27,21/12/2018,21.3,46,Prime,27,27,37,45,45,,,,,pedigree
687,M,23/3,443/16,1621,31,21/11/2018,25.6,56,Prime,31,35,43,55,,,,,,pedigree
688,F,23/3,443/16,1621,31,15/8/2020,,,,31,33,38,47,47,48,52,56,66,pedigree
689,M,27/3,381/15,1621,40,15/10/2019,,,,40,37,50,61,61,64,71,79,85,pedigree
690,F,29/3,386/15,1621,24,,,,,24,25,31,39,43,42,46,52,60,pedigree
691,F,29/3,326/15,1621,23,8/2/2019,23.1,47,Prime,23,26,34,43,44,44,,,,pedigree
